candidate,period,costs,trades,trades_per_year,win_rate,avg_win,avg_loss,win_loss_ratio,expectancy,profit_factor,max_consec_losses,avg_hold_h,top1,top5,top10,tstat
Version A (4H),dev 2018-03..2024,zero,136,19.885508406725382,0.47794117647058826,0.07224260490272845,-0.024288581961006188,2.9743442831989726,0.02184764705474933,2.722991245182158,5,82.8529411764706,0.23697513881218013,0.6087987720141513,0.9777252562324484,3.3250434800843007
Version A (4H),dev 2018-03..2024,axiom_normal,136,19.885508406725382,0.29411764705882354,0.08645462925180808,-0.037935663061974025,2.2789803122874246,-0.001350282969685177,0.9495751301197601,8,82.8529411764706,,,,-0.209882910101926
Version A (4H),dev 2018-03..2024,axiom_harsh,136,19.885508406725382,0.23529411764705882,0.08769143067538282,-0.051571174495612576,1.7003962297357254,-0.01880350269067248,0.5231988399186848,12,82.8529411764706,,,,-2.9521492656926824
Version A (4H),dev 2018-03..2024,coinbase_taker,136,19.885508406725382,0.3088235294117647,0.08625068220754928,-0.034871147519050544,2.4734110674284366,0.002534123425928809,1.1051411152339823,8,82.8529411764706,1.8947555328131458,4.7655937818637994,7.502243849200047,0.3931039490537229
Version A (4H),H1 2025..2026-09,zero,33,19.535251215559157,0.36363636363636365,0.0315573095101091,-0.01487588945472061,2.1213729509192425,0.00200891016885383,1.2122131148109956,5,53.93939393939394,1.2760364066971757,2.407932964951307,4.023498573402008,0.4041838517716072
Version A (4H),H1 2025..2026-09,axiom_normal,33,19.535251215559157,0.15151515151515152,0.034624078392629765,-0.030667676077637464,1.1290088725659022,-0.020774986006384857,0.2016087272439111,10,53.93939393939394,,,,-4.268927809129891
Version A (4H),H1 2025..2026-09,axiom_harsh,33,19.535251215559157,0.12121212121212122,0.024659370725908715,-0.046682198120981816,0.5282392800356437,-0.03803473523044964,0.07286059034974396,15,53.93939393939394,,,,-7.894156588769018
Version A (4H),H1 2025..2026-09,coinbase_taker,33,19.535251215559157,0.15151515151515152,0.038580842073099794,-0.026842237426939947,1.4373184120031108,-0.01692964962390362,0.2566640021434127,10,53.93939393939394,,,,-3.47178959128366
Version A (4H),H2 2014-2017,zero,101,25.25,0.46534653465346537,0.08554472392852902,-0.025702415325428656,3.3282756832543843,0.026066055416512038,2.896832539128816,6,83.00990099009901,0.2623527519106717,0.6091033359611817,0.8896314687872356,3.1758166564043075
Version A (4H),H2 2014-2017,axiom_normal,101,25.25,0.3564356435643564,0.08410601058361208,-0.042261962464324815,1.990111336041474,0.0027800873349398173,1.102215509192201,9,83.00990099009901,2.2464927363949037,5.105797260344407,7.276166147619924,0.34593792545508234
Version A (4H),H2 2014-2017,axiom_harsh,101,25.25,0.27722772277227725,0.08775658518902077,-0.054018161004927644,1.624575578961591,-0.014714270970961752,0.6231248796017063,12,83.00990099009901,,,,-1.8493782926784146
Version A (4H),H2 2014-2017,coinbase_taker,101,25.25,0.3564356435643564,0.08816230009656868,-0.038459844063133054,2.2923207892327246,0.006672801379928946,1.2695930524981243,9,83.00990099009901,0.9493734616551122,2.1661113472867193,3.101008499727758,0.8286579313097338
