candidate,period,alloc,final,total_return,max_dd,sharpe,costs_paid,skipped
"4H + F4 move>=2x cost, exit X2",dev 2018-03..2024,0.75,381.2003456147804,-0.2375993087704391,-0.24027686065429432,-0.41420582472899636,260.1985437766817,0.0
"4H + F4 move>=2x cost, exit X2",dev 2018-03..2024,1.0,347.9720260644403,-0.30405594787111945,-0.3081489035832936,-0.3983424935170189,324.3263544572172,0.0
"1D + F1 daily>SMA100, exit X1",dev 2018-03..2024,0.25,446.2986894525105,-0.107402621094979,-0.13724605684948255,-0.3772801074100213,127.4317945587196,0.0
"1D + F1 daily>SMA100, exit X1",dev 2018-03..2024,0.5,412.55782986537474,-0.17488434026925048,-0.23759791924880802,-0.2942235467411456,232.42462845885805,0.0
"1D + F1 daily>SMA100, exit X1",dev 2018-03..2024,0.75,379.3486835228017,-0.24130263295439658,-0.32904015108134144,-0.2572151560366375,334.2462313536464,0.0
"1D + F1 daily>SMA100, exit X1",dev 2018-03..2024,1.0,346.8828416156252,-0.3062343167687497,-0.41208701096139433,-0.23161861514391585,432.5480057076473,0.0
Version A (4H),dev 2018-03..2024,0.25,437.3173258389302,-0.12536534832213964,-0.24492502390299675,-0.18571741499119673,423.56241896034265,0.0
Version A (4H),dev 2018-03..2024,0.5,417.82984281962524,-0.16434031436074947,-0.3787100151567899,-0.07452742771819745,807.2455286498102,0.0
Version A (4H),dev 2018-03..2024,0.75,381.97927940241453,-0.2360414411951709,-0.5003153193351239,-0.03889702370217148,1189.915560880559,0.0
Version A (4H),dev 2018-03..2024,1.0,335.012533967825,-0.32997493206435,-0.6073008792070926,-0.022829155066157247,1549.324168075766,0.0
BTC buy & hold,dev 2018-03..2024,1.0,,7.569230769230769,-0.7662925431645935,0.8107729344814195,,
Version A (4H),H1 2025..2026-09,0.25,412.9258731388143,-0.1741482537223713,-0.18090159772213565,-2.3388907262679424,93.94599642461885,0.0
Version A (4H),H1 2025..2026-09,0.5,350.92500960180877,-0.29814998079638244,-0.31094364855652656,-2.191440190001105,160.70147166427802,0.0
Version A (4H),H1 2025..2026-09,0.75,297.3927593050821,-0.40521448138983573,-0.4217249753832121,-2.1384803696633954,217.32288792609515,0.0
Version A (4H),H1 2025..2026-09,1.0,251.28872657705116,-0.4974225468458977,-0.5159026560040247,-2.1103624139752113,265.21930332351116,0.0
BTC buy & hold,H1 2025..2026-09,1.0,,-0.172164624435165,-0.5297176591351062,-0.038861620383242784,,
Version A (4H),H2 2014-2017,0.25,495.0208725417567,-0.009958254916486609,-0.24093085409535753,0.02820370361228932,285.63046492320996,0.0
Version A (4H),H2 2014-2017,0.5,519.6758223975371,0.03935164479507414,-0.39579901141000984,0.14838681626849054,484.33859754083306,0.0
Version A (4H),H2 2014-2017,0.75,524.87566406604,0.04975132813208005,-0.5253091204073636,0.18863847425661553,642.4617211342063,0.0
Version A (4H),H2 2014-2017,1.0,510.6862726309321,0.02137254526186405,-0.6281195906448711,0.20718507950496026,760.4368743576331,0.0
BTC buy & hold,H2 2014-2017,1.0,,17.386541263743542,-0.8135307427875201,1.353662013966649,,
